,total_enrollment,total_price,year,for_profit,private,public,net_cost_0_to_30,net_cost_30_to_48,net_cost_48_to_75,net_cost_75_to_110,net_cost_over_110,state_code,off_campus,on_campus,two_year,four_year,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,asian_enrollment,white_enrollment,black_enrollment,american_indian_alaska_native_enrollment,hispanic_enrollment
13,3458.0,13803,2018,0.0,0.0,1.0,6100.21198,7284.917471,9849.396339,11399.72646,11307.80965,2,1.0,0.0,1.0,0.0,8474.0,4128,12602,12550,21024,36.0,2728.0,407.0,9.0,197.0
14,127.0,36902,2017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,1.0,0.0,0.0,17661,17661,17661,17661,10.0,80.0,14.0,1.0,6.0
15,127.0,36902,2018,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,1.0,0.0,0.0,17661,17661,17661,17661,10.0,80.0,14.0,1.0,6.0
16,15212.0,42250,2017,1.0,0.0,0.0,31211.55478,32881.71776,34449.41674,37258.97924,37248.73284,4,0.0,1.0,0.0,1.0,16648.0,27810,44458,27810,44458,1092.0,3456.0,999.0,70.0,1383.0
17,15212.0,44226,2018,1.0,0.0,0.0,32671.29519,34419.5704,36060.58947,39001.55304,38990.82742,4,0.0,1.0,0.0,1.0,16648.0,27810,44458,27810,44458,1092.0,3456.0,999.0,70.0,1383.0
18,15212.0,42368,2018,1.0,0.0,0.0,32671.29519,34419.5704,36060.58947,39001.55304,38990.82742,4,1.0,0.0,0.0,1.0,16648.0,27810,44458,27810,44458,1092.0,3456.0,999.0,70.0,1383.0
19,15212.0,41234,2016,1.0,0.0,0.0,30461.0,32091.0,33621.0,36363.0,36353.0,4,0.0,1.0,0.0,1.0,16648.0,27810,44458,27810,44458,1092.0,3456.0,999.0,70.0,1383.0
20,15212.0,39804,2016,1.0,0.0,0.0,30461.0,32091.0,33621.0,36363.0,36353.0,4,1.0,0.0,0.0,1.0,16648.0,27810,44458,27810,44458,1092.0,3456.0,999.0,70.0,1383.0
21,15212.0,40750,2017,1.0,0.0,0.0,31211.55478,32881.71776,34449.41674,37258.97924,37248.73284,4,1.0,0.0,0.0,1.0,16648.0,27810,44458,27810,44458,1092.0,3456.0,999.0,70.0,1383.0
22,3154.0,22266,2016,0.0,0.0,1.0,10517.0,11338.0,14768.0,18515.0,18765.0,5,0.0,1.0,0.0,1.0,8782.0,9440,18222,20456,29238,37.0,1776.0,191.0,37.0,812.0
23,3154.0,22895,2017,0.0,0.0,1.0,10814.0984,11658.29112,15185.18638,19038.03669,19295.09903,5,0.0,1.0,0.0,1.0,8782.0,9440,18222,20456,29238,37.0,1776.0,191.0,37.0,812.0
24,3154.0,22708,2018,0.0,0.0,1.0,10725.77185,11563.06943,15061.158,18882.5393,19137.50202,5,0.0,1.0,0.0,1.0,8782.0,9440,18222,20456,29238,37.0,1776.0,191.0,37.0,812.0
